,gameId,result
1490,201211120pit,0.004
38,201510110det,0.019
2481,201201080den,0.027
11,201111200sfo,0.008
8,200912140sfo,0.014
2503,201112050jax,0.015
760,201610230cin,0.035
1930,200712100atl,0.028
2819,200710210sea,0.002
1491,201412210pit,0.005
3082,201409210phi,0.018
2515,200901110pit,0.021
290,200811090htx,0.006
287,201410120tam,0.016
99,201509270dal,0.006
2060,201412070oti,0.012
1074,200711040kan,0.017
392,201509270mia,0.023
999,201711060gnb,0.03
576,201611130tam,0.006
582,201512200min,0.004
1083,201209240sea,0.033
623,201312150pit,0.019
1992,201010100crd,0.009
2878,201011070atl,0.011
2541,201201010rai,0.007
2146,201509210clt,0.03
2853,201811040car,0.001
1957,201609180nyg,0.019
431,201012230pit,0.007
559,200711110rai,0.021
2935,201801060kan,0.029
71,200709230rav,0.032
729,201112240rav,0.003
721,200812150phi,0.013
311,201210070sfo,0.006
1200,201212100nwe,0.051
2760,201610230crd,0.016
242,201111060pit,0.019
2898,201011280rav,0.003
686,201511220crd,0.003
368,201410260nyj,0.019
2233,200811230den,0.073
1414,200809070oti,0.032
2406,201509270ram,0.068
385,201409070chi,0.003
2931,201709240min,0.018
2138,201612110sfo,0.004
2976,200709090jax,0.001
1073,201112180kan,0.011
2894,200809070nor,0.031
2793,201209090det,0.015
1228,201412140clt,0.003
2647,200811300buf,0.027
2735,201312150nyg,0.012
2510,200911080nyg,0.002
196,201310270crd,0.002
1635,201711260nwe,0.009
2879,201310200atl,0.051
1447,201411020cin,0.014
2328,201509140atl,0.006
1536,200911290sdg,0.03
459,201801070nor,0.043
2848,201112240car,0.013
733,201709170rav,0.031
3049,201012190dal,0.054
1599,201611130nyj,0.02
1926,200912060was,0.008
957,200812280sdg,0.002
1597,201901200nor,0.01
339,201610020nwe,0.011
1218,200712020oti,0.158
1468,201711260crd,0.073
1012,201210140phi,0.001
2166,200710210cin,0.017
774,200911010chi,0.05
2219,201410260cle,0.018
585,201712310min,0.002
2750,201212160buf,0.009
3118,201111130mia,0.013
1470,201611130car,0.02
24,200911220ram,0.018
2768,201310170crd,0.036
2838,200912270crd,0.005
1658,201710260rav,0.026
1262,201211110chi,0.029
1891,200710140dal,0.03
765,201510040sdg,0.036
4,201501030car,0.009
2423,200811300nwe,0.01
995,201311170pit,0.004
31,201311170jax,0.001
1157,201612180chi,0.009
2918,201010100cin,0.016
45,200809280nyj,0.009
2088,201610230ram,0.009
570,200910250cin,0.021
958,201512060sdg,0.023
2471,200710280cin,0.006
2442,201512270rav,0.007
1780,201212230htx,0.019
2106,201212090jax,0.009
813,201110160nwe,0.025
2453,201211040nyg,0.01
784,201210210car,0.003
165,201410050nyg,0.018
2084,201512140mia,0.038
2273,200910040htx,0.048
734,200809210rav,0.007
51,201812020gnb,0.007
2059,200910180nor,0.014
156,201112260nor,0.029
651,201111200rav,0.015
1639,200809210nwe,0.005
1049,201412210chi,0.012
2133,201101230pit,0.019
2591,201201010ram,0.021
595,201009260car,0.009
910,201311240nwe,0.001
1138,201311170nyg,0.011
2720,201711260sfo,0.01
1645,200811020den,0.002
1586,201612150sea,0.125
1606,201812230crd,0.087
2384,200712160dal,0.001
1838,200712030rav,0.065
480,201510040tam,0.025
2359,201611060nyg,0.018
3004,201311240rai,0.024
1825,201011140pit,0.013
2424,201509100nwe,0.019
369,201309220nyj,0.036
2129,201811040mia,0.037
2005,201209200car,0.004
1122,201510040sfo,0.031
334,201412280nwe,0.035
1267,201109180mia,0.036
1711,201110300car,0.0
27,201009120ram,0.005
1003,201812300gnb,0.013
562,201812020nyg,0.015
2695,201410190ram,0.018
2615,201012050gnb,0.002
905,200811300nyj,0.003
1087,200910250cle,0.035
1535,201511220sdg,0.011
2557,200801130clt,0.025
584,201812300min,0.023
1449,201009190sdg,0.029
2473,201510120sdg,0.001
2896,201511290clt,0.005
1181,201710290sea,0.005
1473,201212090cle,0.004
2502,201010170ram,0.015
2077,201511080tam,0.01
3041,201110230car,0.01
1412,200711110oti,0.058
1864,200812070sea,0.066
1050,201311100chi,0.01
1381,201111200cle,0.023
1371,200909270crd,0.025
