Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
161,Tyler Eifert,CIN,TE,1,IND,4.14,2.9,75,34.9,0.5,0,8.8,11.7,0,0,0,0,0,0,7.9,7.94
161,Kyle Rudolph,MIN,TE,2,GB,6.33,3.6,66.7,37.4,0.4,0,6.2,9.2,0,0,0,0,0,0,7.9,7.94
163,Kyle Rudolph,MIN,TE,5,PHI,7.04,4,57.1,41.3,0.3,0,5.9,10.2,0,0,0,0,0,0,7.9,7.93
164,David Njoku,CLE,TE,9,KC,4.97,3.8,80,42.2,0.3,0,8.4,10.5,0,0,0,0,0,0,7.9,7.92
165,Trey Burton,CHI,TE,6,MIA,4.82,3.4,60,43.4,0.3,0,8.6,14.3,0.1,0.3,0,0,0,0,7.9,7.87
165,Greg Olsen,CAR,TE,8,BAL,6.47,3.7,66.7,42.2,0.3,0,7,10.5,0,0,0,0,0,0,7.9,7.87
167,George Kittle,SF,TE,4,LAC,6.3,3.8,66.7,47.4,0.2,0,7.8,11.8,0,0,0,0,0,0,7.8,7.84
168,Austin Hooper,ATL,TE,6,TB,5.14,3.9,80,40.6,0.3,0,8.2,10.2,0,0,0,0,0,0,7.8,7.81
169,Evan Engram,NYG,TE,8,WAS,6.32,3.7,66.7,41,0.3,0,6.8,10.2,0,0.5,0,0,0,0,7.8,7.8
170,David Njoku,CLE,TE,10,ATL,4.71,3.6,80,41.8,0.3,0,8.4,10.5,0,0,0,0,0,0,7.8,7.78
171,Eric Ebron,IND,TE,10,JAX,4.52,3.3,60,37,0.4,0,7.4,12.3,0,0.2,0,0,0,0,7.8,7.77
171,Vance McDonald,PIT,TE,11,JAX,6.23,3.5,66.7,42.1,0.3,0,7,10.5,0,0.1,0,0,0,0,7.8,7.77
173,Vance McDonald,PIT,TE,14,OAK,6.58,3.7,57.1,41.1,0.3,0,5.9,10.2,0,0,0,0,0,0,7.8,7.76
174,Vance McDonald,PIT,TE,12,DEN,6.4,3.6,66.7,41.4,0.3,0,6.8,10.2,0,0,0,0,0,0,7.7,7.74
175,Jimmy Graham,GB,TE,11,SEA,4.85,3.3,60,42.5,0.3,0,8.4,14,0,0,0,0,0,0,7.7,7.7
176,Evan Engram,NYG,TE,15,TEN,6.15,3.6,66.7,40.5,0.3,0,6.7,10,0,0.3,0,0,0,0,7.7,7.68
177,Evan Engram,NYG,TE,10,SF,6.49,3.8,66.7,39.1,0.3,0,6.5,9.8,0,0.6,0,0,0,0,7.7,7.67
177,Vance McDonald,PIT,TE,10,CAR,6.94,3.9,57.1,45.2,0.2,0,6.4,11.2,0,0,0,0,0,0,7.7,7.67
179,Tyler Eifert,CIN,TE,4,ATL,5,3.5,80,41.1,0.3,0,8.2,10.2,0,0,0,0,0,0,7.7,7.66
180,Austin Hooper,ATL,TE,10,CLE,4.88,3.7,80,40,0.3,0,8,10,0,0,0,0,0,0,7.6,7.65
181,Austin Hooper,ATL,TE,16,CAR,5.28,4,80,38.1,0.3,0,7.6,9.5,0,0,0,0,0,0,7.6,7.61
182,Vance McDonald,PIT,TE,4,BAL,5.69,3.2,50,41.8,0.3,0,7,14,0,0.1,0,0,0,0,7.6,7.59
183,Evan Engram,NYG,TE,14,WAS,6.15,3.6,66.7,39.4,0.3,0,6.5,9.8,0,0.4,0,0,0,0,7.6,7.58
