Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
127,Antonio Gates,LAC,TE,1,MIN,13,8,61.5,74,0,15,5.7,9.2,0,0,0,0,0,0,11.4,11.4
127,Tony Gonzalez,ATL,TE,12,MIN,9,9,100,69,0,18,7.7,7.7,0,0,0,0,0,0,11.4,11.4
129,Tony Scheffler,DET,TE,8,DEN,3,3,100,38,1,28,12.7,12.7,0,0,0,0,0,0,11.3,11.3
129,Rob Gronkowski,NE,TE,16,MIA,9,7,77.8,78,0,22,8.7,11.1,0,0,0,0,0,0,11.3,11.3
131,Tony Scheffler,DET,TE,10,CHI,7,3,42.9,37,1,17,5.3,12.3,0,0,0,0,0,0,11.2,11.2
131,Dallas Clark,IND,TE,2,CLE,8,4,50,32,1,10,4,8,0,0,0,0,0,0,11.2,11.2
131,Dustin Keller,NYJ,TE,3,OAK,9,5,55.6,87,0,33,9.7,17.4,0,0,0,0,0,0,11.2,11.2
134,Ed Dickson,BAL,TE,15,LAC,4,3,75,36,1,15,9,12,0,0,0,0,0,0,11.1,11.1
134,Kellen Winslow,TB,TE,17,ATL,9,7,77.8,56,0,22,6.2,8,0,0,0,0,1,0,11.1,11.1
136,Evan Moore,CLE,TE,1,CIN,6,3,50,35,1,17,5.8,11.7,0,0,0,0,0,0,11,11
137,Kellen Winslow,TB,TE,9,NO,6,4,66.7,29,1,14,4.8,7.2,0,0,0,0,0,0,10.9,10.9
137,Aaron Hernandez,NE,TE,14,WAS,7,5,71.4,84,0,29,12,16.8,0,0,0,0,0,0,10.9,10.9
137,Jimmy Graham,NO,TE,2,CHI,7,6,85.7,79,0,31,11.3,13.2,0,0,0,0,0,0,10.9,10.9
137,Rob Gronkowski,NE,TE,6,DAL,7,7,100,74,0,20,10.6,10.6,0,0,0,0,0,0,10.9,10.9
141,Delanie Walker,SF,TE,2,DAL,4,2,50,38,1,29,9.5,19,0,0,0,0,0,0,10.8,10.8
141,Jake Ballard,NYG,TE,4,ARI,3,3,100,33,1,21,11,11,0,0,0,0,0,0,10.8,10.8
141,Kevin Boss,OAK,TE,17,LAC,3,3,100,33,1,22,11,11,0,0,0,0,0,0,10.8,10.8
141,Visanthe Shiancoe,MIN,TE,14,DET,7,3,42.9,33,1,18,4.7,11,0,0,0,0,0,0,10.8,10.8
141,Jimmy Graham,NO,TE,9,TB,8,6,75,78,0,23,9.8,13,0,0,0,0,0,0,10.8,10.8
146,Delanie Walker,SF,TE,5,TB,3,2,66.7,37,1,26,12.3,18.5,0,0,0,0,0,0,10.7,10.7
146,Leonard Pope,KC,TE,3,LAC,3,3,100,32,1,23,10.7,10.7,0,0,0,0,0,0,10.7,10.7
146,Anthony Fasano,MIA,TE,1,NE,6,5,83.3,82,0,25,13.7,16.4,0,0,0,0,0,0,10.7,10.7
146,Heath Miller,PIT,TE,15,SF,9,5,55.6,82,0,39,9.1,16.4,0,0,0,0,0,0,10.7,10.7
146,Dallas Clark,IND,TE,8,TEN,10,6,60,77,0,21,7.7,12.8,0,0,0,0,0,0,10.7,10.7
151,Jeff King,ARI,TE,2,WAS,2,2,100,36,1,21,18,18,0,0,0,0,0,0,10.6,10.6
151,Jake Ballard,NYG,TE,6,BUF,5,5,100,81,0,24,16.2,16.2,0,0,0,0,0,0,10.6,10.6
151,Jermaine Gresham,CIN,TE,5,JAX,7,5,71.4,21,1,9,3,4.2,0,0,0,0,0,0,10.6,10.6
154,Todd Heap,ARI,TE,17,SEA,2,2,100,35,1,22,17.5,17.5,0,0,0,0,0,0,10.5,10.5
154,Jeremy Shockey,CAR,TE,15,HOU,4,2,50,35,1,26,8.8,17.5,0,0,0,0,0,0,10.5,10.5
154,Kellen Winslow,TB,TE,7,CHI,12,4,33.3,25,1,14,2.1,6.2,0,0,0,0,0,0,10.5,10.5
154,Jacob Tamme,IND,TE,10,JAX,8,6,75,75,0,29,9.4,12.5,0,0,0,0,0,0,10.5,10.5
158,Dennis Pitta,BAL,TE,14,IND,4,3,75,29,1,16,7.2,9.7,0,0,0,0,0,0,10.4,10.4
158,Jason Witten,DAL,TE,17,NYG,8,7,87.5,69,0,20,8.6,9.9,0,0,0,0,0,0,10.4,10.4
158,Todd Heap,ARI,TE,15,CLE,9,7,77.8,69,0,18,7.7,9.9,0,0,0,0,0,0,10.4,10.4
161,Jermaine Gresham,CIN,TE,10,PIT,5,4,80,23,1,10,4.6,5.8,0,0,0,0,0,0,10.3,10.3
162,Tony Scheffler,DET,TE,2,KC,4,1,25,36,1,36,9,36,0,0,0,0,0,0,10.1,10.1
162,Joel Dreessen,HOU,TE,7,TEN,2,2,100,31,1,21,15.5,15.5,0,0,0,0,0,0,10.1,10.1
162,Daniel Fells,DEN,TE,7,MIA,4,2,50,31,1,28,7.8,15.5,0,0,0,0,0,0,10.1,10.1
165,Kevin Boss,OAK,TE,6,CLE,1,1,100,35,1,35,35,35,0,0,0,0,0,0,10,10
165,Owen Daniels,HOU,TE,2,MIA,5,3,60,25,1,11,5,8.3,0,0,0,0,0,0,10,10
165,Kellen Davis,CHI,TE,5,DET,3,3,100,25,1,17,8.3,8.3,0,0,0,0,0,0,10,10
165,Brent Celek,PHI,TE,12,NE,6,5,83.3,75,0,24,12.5,15,0,0,0,0,0,0,10,10
165,Antonio Gates,LAC,TE,13,JAX,7,6,85.7,70,0,23,10,11.7,0,0,0,0,0,0,10,10
170,Delanie Walker,SF,TE,10,NYG,7,6,85.7,69,0,19,9.9,11.5,0,0,0,0,0,0,9.9,9.9
170,Marcedes Lewis,JAX,TE,11,CLE,11,7,63.6,64,0,18,5.8,9.1,0,0,0,0,0,0,9.9,9.9
172,Evan Moore,CLE,TE,13,BAL,3,2,66.7,28,1,22,9.3,14,0,0,0,0,0,0,9.8,9.8
172,Anthony Fasano,MIA,TE,15,BUF,4,2,50,28,1,22,7,14,0,0,0,0,0,0,9.8,9.8
172,Jermichael Finley,GB,TE,15,KC,10,3,30,83,0,41,8.3,27.7,0,0,0,0,0,0,9.8,9.8
172,Greg Olsen,CAR,TE,1,ARI,6,4,66.7,78,0,43,13,19.5,0,0,0,0,0,0,9.8,9.8
172,Kevin Boss,OAK,TE,4,NE,5,4,80,78,0,23,15.6,19.5,0,0,0,0,0,0,9.8,9.8
172,Heath Miller,PIT,TE,9,BAL,6,5,83.3,73,0,30,12.2,14.6,0,0,0,0,0,0,9.8,9.8
178,Kellen Davis,CHI,TE,3,GB,2,1,50,32,1,32,16,32,0,0,0,0,0,0,9.7,9.7
178,Joel Dreessen,HOU,TE,14,CIN,3,3,100,22,1,10,7.3,7.3,0,0,0,0,0,0,9.7,9.7
178,Jason Witten,DAL,TE,15,TB,5,4,80,77,0,28,15.4,19.2,0,0,0,0,0,0,9.7,9.7
178,Tony Gonzalez,ATL,TE,1,CHI,7,5,71.4,72,0,30,10.3,14.4,0,0,0,0,0,0,9.7,9.7
182,Greg Olsen,CAR,TE,5,NO,5,3,60,21,1,9,4.2,7,0,0,0,0,0,0,9.6,9.6
182,Kellen Davis,CHI,TE,16,GB,3,3,100,21,1,11,7,7,0,0,0,0,0,0,9.6,9.6
182,Heath Miller,PIT,TE,3,IND,6,5,83.3,71,0,30,11.8,14.2,0,0,0,0,0,0,9.6,9.6
182,Scott Chandler,BUF,TE,11,MIA,6,5,83.3,71,0,31,11.8,14.2,0,0,0,0,0,0,9.6,9.6
182,Kellen Winslow,TB,TE,1,DET,8,6,75,66,0,22,8.2,11,0,0,0,0,0,0,9.6,9.6
187,Kellen Davis,CHI,TE,12,OAK,2,2,100,25,1,16,12.5,12.5,0,0,0,0,0,0,9.5,9.5
