,date,favorite,spread,underdog,total,awayMoneyLine,homeMoneyLine,season,week
9,"December 18, 2011 12:00 AM",Ravens,-2.5,at Chargers,44.5,,,2011,15
10,"December 18, 2011 12:00 AM",Bengals,-7.0,at Rams,39.0,,,2011,15
11,"December 18, 2011 12:00 AM",Saints,-7.5,at Vikings,53.5,,,2011,15
12,"December 18, 2011 12:00 AM",at Giants,-6.0,Redskins,46.0,,,2011,15
13,"December 18, 2011 12:00 AM",Lions,-2.5,at Raiders,47.5,,,2011,15
14,"December 18, 2011 12:00 AM",at Eagles,-3.0,Jets,44.0,,,2011,15
15,"December 19, 2011 12:00 AM",at 49ers,-2.5,Steelers,38.0,,,2011,15
0,"December 22, 2011 12:00 AM",Texans,-6.5,at Colts,40.0,,,2011,16
1,"December 24, 2011 12:00 AM",at Chiefs,-3.0,Raiders,43.0,,,2011,16
2,"December 24, 2011 12:00 AM",at Patriots,-7.0,Dolphins,49.5,,,2011,16
3,"December 24, 2011 12:00 AM",at Ravens,-11.5,Browns,38.5,,,2011,16
4,"December 24, 2011 12:00 AM",Broncos,-3.0,at Bills,42.5,,,2011,16
5,"December 24, 2011 12:00 AM",at Panthers,-8.0,Buccaneers,48.0,,,2011,16
6,"December 24, 2011 12:00 AM",at Bengals,-4.5,Cardinals,41.0,,,2011,16
7,"December 24, 2011 12:00 AM",Eagles,-2.5,at Cowboys,50.5,,,2011,16
8,"December 24, 2011 12:00 AM",at Lions,-1.5,Chargers,53.5,,,2011,16
9,"December 24, 2011 12:00 AM",at Jets,-3.0,Giants,46.5,,,2011,16
10,"December 24, 2011 12:00 AM",at Steelers,-10.5,Rams,34.0,,,2011,16
11,"December 24, 2011 12:00 AM",49ers,-2.0,at Seahawks,37.5,,,2011,16
12,"December 24, 2011 12:00 AM",at Titans,-8.0,Jaguars,39.5,,,2011,16
13,"December 24, 2011 12:00 AM",at Redskins,-6.5,Vikings,44.0,,,2011,16
14,"December 25, 2011 12:00 AM",at Packers,-13.0,Bears,42.0,,,2011,16
15,"December 26, 2011 12:00 AM",at Saints,-7.0,Falcons,52.5,,,2011,16
0,"January 1, 2012 12:00 AM",at Cardinals,-2.5,Seahawks,41.0,,,2011,17
1,"January 1, 2012 12:00 AM",at Falcons,-9.5,Buccaneers,45.0,,,2011,17
2,"January 1, 2012 12:00 AM",Ravens,-1.5,at Bengals,38.0,,,2011,17
3,"January 1, 2012 12:00 AM",Steelers,-7.0,at Browns,33.0,,,2011,17
4,"January 1, 2012 12:00 AM",at Broncos,-2.0,Chiefs,37.0,,,2011,17
5,"January 1, 2012 12:00 AM",Lions,-6.5,at Packers,41.0,,,2011,17
6,"January 1, 2012 12:00 AM",Titans,-1.5,at Texans,38.0,,,2011,17
7,"January 1, 2012 12:00 AM",at Jaguars,-3.0,Colts,36.5,,,2011,17
8,"January 1, 2012 12:00 AM",49ers,-12.5,at Rams,34.5,,,2011,17
9,"January 1, 2012 12:00 AM",at Dolphins,-2.5,Jets,38.5,,,2011,17
10,"January 1, 2012 12:00 AM",at Vikings,-2.5,Bears,41.0,,,2011,17
11,"January 1, 2012 12:00 AM",at Patriots,-10.5,Bills,50.0,,,2011,17
12,"January 1, 2012 12:00 AM",at Saints,-7.0,Panthers,55.0,,,2011,17
13,"January 1, 2012 12:00 AM",at Giants,-3.0,Cowboys,47.5,,,2011,17
14,"January 1, 2012 12:00 AM",at Raiders,-3.0,Chargers,48.0,,,2011,17
15,"January 1, 2012 12:00 AM",at Eagles,-7.5,Redskins,44.0,,,2011,17
0,"September 5, 2012 8:30 PM",at Giants,-3.0,Cowboys,47.0,,,2012,1
1,"September 9, 2012 1:00 PM",at Jets,-3.0,Bills,42.5,,,2012,1
2,"September 9, 2012 1:00 PM",at Lions,-9.5,Rams,47.0,,,2012,1
3,"September 9, 2012 1:00 PM",Patriots,-6.5,at Titans,48.5,,,2012,1
4,"September 9, 2012 1:00 PM",at Bears,-9.5,Colts,41.5,,,2012,1
5,"September 9, 2012 1:00 PM",Eagles,-9.0,at Browns,42.0,,,2012,1
6,"September 9, 2012 1:00 PM",at Texans,-13.0,Dolphins,44.5,,,2012,1
7,"September 9, 2012 1:00 PM",Falcons,-2.5,at Chiefs,42.0,,,2012,1
8,"September 9, 2012 1:00 PM",at Vikings,-3.5,Jaguars,39.0,,,2012,1
9,"September 9, 2012 1:00 PM",at Saints,-8.5,Redskins,51.5,,,2012,1
10,"September 9, 2012 4:25 PM",Seahawks,-3.0,at Cardinals,42.0,,,2012,1
11,"September 9, 2012 4:25 PM",Panthers,-2.5,at Buccaneers,47.0,,,2012,1
12,"September 9, 2012 4:25 PM",at Packers,-5.0,49ers,45.0,,,2012,1
13,"September 9, 2012 8:20 PM",at Broncos,-2.0,Steelers,45.0,,,2012,1
14,"September 10, 2012 7:00 PM",at Ravens,-7.0,Bengals,40.5,,,2012,1
15,"September 10, 2012 10:15 PM",at Raiders,-1.0,Chargers,47.5,,,2012,1
0,"September 13, 2012 8:20 PM",at Packers,-5.0,Bears,48.5,,,2012,2
1,"September 16, 2012 1:00 PM",Vikings,-3.0,at Colts,43.0,,,2012,2
2,"September 16, 2012 1:00 PM",Texans,-6.5,at Jaguars,42.5,,,2012,2
3,"September 16, 2012 1:00 PM",at Bills,-3.0,Chiefs,45.0,,,2012,2
4,"September 16, 2012 1:00 PM",Saints,-3.0,at Panthers,48.0,,,2012,2
5,"September 16, 2012 1:00 PM",at Bengals,-7.0,Browns,41.5,,,2012,2
6,"September 16, 2012 1:00 PM",Raiders,-1.0,at Dolphins,41.0,,,2012,2
7,"September 16, 2012 1:00 PM",at Patriots,-12.5,Cardinals,48.0,,,2012,2
8,"September 16, 2012 1:00 PM",at Giants,-8.5,Buccaneers,43.5,,,2012,2
9,"September 16, 2012 1:00 PM",at Eagles,-2.5,Ravens,44.0,,,2012,2
10,"September 16, 2012 4:05 PM",Cowboys,-3.0,at Seahawks,43.0,,,2012,2
11,"September 16, 2012 4:05 PM",Redskins,-3.5,at Rams,46.0,,,2012,2
12,"September 16, 2012 4:25 PM",at Chargers,-6.5,Titans,44.5,,,2012,2
13,"September 16, 2012 4:25 PM",at Steelers,-4.5,Jets,41.5,,,2012,2
14,"September 16, 2012 8:20 PM",at 49ers,-7.0,Lions,46.5,,,2012,2
15,"September 17, 2012 8:30 PM",at Falcons,-3.0,Broncos,48.0,,,2012,2
0,"September 20, 2012 8:20 PM",at Panthers,-2.5,Giants,49.0,,,2012,3
1,"September 23, 2012 1:00 PM",at Bears,-7.0,Rams,41.5,,,2012,3
2,"September 23, 2012 1:00 PM",Bills,-3.0,at Browns,45.5,,,2012,3
3,"September 23, 2012 1:00 PM",at Cowboys,-8.0,Buccaneers,46.0,,,2012,3
4,"September 23, 2012 1:00 PM",at Colts,-3.0,Jaguars,43.0,,,2012,3
5,"September 23, 2012 1:00 PM",Jets,-2.5,at Dolphins,40.5,,,2012,3
6,"September 23, 2012 1:00 PM",49ers,-7.0,at Vikings,43.0,,,2012,3
7,"September 23, 2012 1:00 PM",at Saints,-9.0,Chiefs,51.5,,,2012,3
8,"September 23, 2012 1:00 PM",Lions,-3.5,at Titans,47.0,,,2012,3
9,"September 23, 2012 1:00 PM",at Redskins,-3.0,Bengals,49.5,,,2012,3
10,"September 23, 2012 4:05 PM",at Chargers,-3.0,Falcons,47.0,,,2012,3
11,"September 23, 2012 4:05 PM",Eagles,-3.0,at Cardinals,42.5,,,2012,3
12,"September 23, 2012 4:25 PM",Texans,-1.5,at Broncos,43.5,,,2012,3
13,"September 23, 2012 4:25 PM",Steelers,-3.5,at Raiders,45.0,,,2012,3
14,"September 23, 2012 8:20 PM",at Ravens,-2.5,Patriots,48.5,,,2012,3
15,"September 24, 2012 8:30 PM",Packers,-3.0,at Seahawks,45.5,,,2012,3
0,"September 27, 2012 8:20 PM",at Ravens,-12.0,Browns,43.5,,,2012,4
1,"September 30, 2012 1:00 PM",Patriots,-4.0,at Bills,48.5,,,2012,4
2,"September 30, 2012 1:00 PM",at Falcons,-7.0,Panthers,48.0,,,2012,4
3,"September 30, 2012 1:00 PM",at Lions,-3.5,Vikings,48.5,,,2012,4
